endurance,objective_value,elapsed_time
1,,0.0
11,,0.0
21,,0.01
31,8.700000000000001,0.03
41,7.800000000000001,0.03
51,6.6,0.02
61,6.9,0.02
71,8.4,0.04
81,7.5,0.02
91,9.0,0.04
101,9.0,0.02
111,8.100000000000001,0.02
121,11.700000000000001,0.05
131,6.7,0.03
141,8.1,0.03
151,9.9,0.02
161,9.600000000000001,0.03
171,8.700000000000001,0.02
181,8.4,0.03
191,10.200000000000001,0.03
201,10.5,0.08
211,9.9,0.02
221,9.6,0.04
231,9.0,0.02
241,12.600000000000001,0.19
251,6.900000000000001,0.04
261,9.9,0.04
271,9.600000000000001,0.06
281,11.7,0.07
291,6.900000000000001,0.04
301,12.3,0.08
311,9.299999999999999,0.02
321,9.9,0.03
331,11.100000000000001,0.09
341,9.3,0.03
351,9.0,0.02
361,10.5,0.03
371,11.100000000000001,0.04
381,9.3,0.04
391,6.6,0.02
401,8.100000000000001,0.02
411,8.700000000000001,0.02
421,7.199999999999999,0.02
431,8.100000000000001,0.05
441,9.000000000000002,0.03
451,9.900000000000002,0.03
461,9.299999999999999,0.02
471,9.3,0.04
481,8.700000000000001,0.04
491,9.6,0.04
501,7.200000000000001,0.02
511,9.0,0.03
521,10.5,0.13
531,7.800000000000001,0.04
541,10.5,0.06
551,7.1000000000000005,0.06
561,9.600000000000001,0.02
571,8.100000000000001,0.03
581,9.900000000000002,0.04
591,11.100000000000001,0.02
601,9.0,0.03
611,10.8,0.03
621,12.600000000000001,0.04
631,11.400000000000002,0.03
641,8.7,0.04
651,7.200000000000001,0.04
661,7.500000000000001,0.03
671,11.100000000000001,0.06
681,6.900000000000001,0.02
691,13.2,0.15
701,9.900000000000002,0.03
711,7.5,0.03
721,13.2,0.09
731,8.400000000000002,0.03
741,8.700000000000001,0.03
751,9.3,0.08
761,9.6,0.02
771,11.100000000000001,0.02
781,7.800000000000002,0.03
791,9.3,0.04
801,10.200000000000001,0.03
811,8.100000000000001,0.04
821,8.100000000000001,0.03
831,8.7,0.03
841,8.700000000000001,0.03
851,9.3,0.06
861,9.299999999999999,0.03
871,9.3,0.03
881,9.299999999999999,0.03
891,10.200000000000001,0.04
901,7.5,0.03
911,8.4,0.04
921,10.500000000000002,0.02
931,7.200000000000001,0.03
941,12.3,0.12
951,7.800000000000002,0.02
961,11.1,0.09
971,9.600000000000001,0.04
981,7.200000000000001,0.04
991,6.900000000000001,0.03
